Scheme Rule,Count
Only first two children in a family are eligible for the scheme.,1
Applicant must be “Bonafide Student of Institute” and admitted in course as mentioned in GR dated 07-10-2017 (DMER courses).,1
"Under this scheme, 30% of the scholarships is reserved for girls.",1
The following branch wise sets for the said scholarship are approved as follows: Total - 1208 Arts - 285 Commerce - 230 Science - 638 Law - 55,1
The Applicant must have obtained a minimum of 60 percent marks in the 12th standard.,1
"The following sets for the said scholarship are approved for Universities as follows: University Nama - Total - 22 Mumbai University, Mumbai - 4 Savitribai Phule University, Pune - 4 Rashtrasant Tukadoji Maharaj University, Nagpur - 4 Dr. Babasaheb Ambedkar Marathwada University, Aurangabad - 4 S.N.D.T. Women's University, Mumbai - 2 Shivaji University, Kolhapur - 4",1
A student who is employed or receiving another stipend will not be eligible for this scholarship.,1
A student who has taken admission for two courses simultaneously will not be eligible for this scholarship.,1
The Applicant must have obtained a minimum of 60 percent marks in the 12th standard science examination and more than 60 percent marks in the subject of Mathematics or Physics.,1
Sanction Set-100 (Mathematics 50 and Physics 50),1
Maharashtrian students who are studying outside of Maharashtra cannot apply for this scheme.,1
Applicant must not be availing benefit of any other scholarship of State & Central Government simultaneously.,1
"For renewal, the annual progress report from Jawaharlal Nehru University, New Delhi, is required.",1
"For this scheme, a total of 80 seats have been sanctioned, with 20 seats each for the Government Vidyaniketan institutions located at Pusegaon, Amravati, Aurangabad, and Dhule.",1
"There are 3 sets of this scholarship at the state level and 11 sets at the college level. Government Institute of Science, Mumbai - 3 Government Institute of Science, Nagpur - 3 Government Institute of Science, Aurangabad - 3 Government Vidarbha Knowledge Institute of Science, Amravati - 1 Vasantrao Naik Government Arts and Social Science Institute, Nagpur -1 For students in agricultural universities and affiliated colleges in the state - 3",1
The benefit is admissible for one research programme at a time,1
"This scheme is not applicable for B.Ed. training courses, M.Phil, Ph.D., and similar courses. Engineering, Medical, MBA, MCA and other professional courses are also not eligible",1
Destitute men and women aged above 65 years,1
